PartitionKey,RowKey,Timestamp,url,url@type,phrase,phrase@type,urlstill,urlstill@type
tasksSign,1067,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/l0HlCuPLK3fVM7urm/200.gif,Edm.String,,Edm.String,https://media3.giphy.com/media/l0HlCuPLK3fVM7urm/200_s.gif,Edm.String
tasksSign,1068,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/3oz8xPNk3tb54nRAGY/200.gif,Edm.String,Where's the bathroom?,Edm.String,https://media2.giphy.com/media/3oz8xPNk3tb54nRAGY/200_s.gif,Edm.String
tasksSign,1069,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/l4JyO9hrVfM2c41l6/200.gif,Edm.String,Dark Brown Hair,Edm.String,https://media2.giphy.com/media/l4JyO9hrVfM2c41l6/200_s.gif,Edm.String
tasksSign,107,2017-09-28T18:30:01.946Z,https://media0.giphy.com/media/26FKSi5xzwjOUKgxO/200.gif,Edm.String,KISS-FIST,Edm.String,https://media0.giphy.com/media/26FKSi5xzwjOUKgxO/200_s.gif,Edm.String
tasksSign,1070,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/3oz8xtJ56NCIhhSCBO/200.gif,Edm.String,Battery,Edm.String,https://media2.giphy.com/media/3oz8xtJ56NCIhhSCBO/200_s.gif,Edm.String
tasksSign,1071,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/l0MYNZJ1VuTMRrSF2/200.gif,Edm.String,,Edm.String,https://media0.giphy.com/media/l0MYNZJ1VuTMRrSF2/200_s.gif,Edm.String
tasksSign,1072,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/l3vR8WvUGGAQZP1pS/200.gif,Edm.String,Surfing,Edm.String,https://media3.giphy.com/media/l3vR8WvUGGAQZP1pS/200_s.gif,Edm.String
tasksSign,1073,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/l0MYy2jCLdfeBDjWg/200.gif,Edm.String,Battery,Edm.String,https://media3.giphy.com/media/l0MYy2jCLdfeBDjWg/200_s.gif,Edm.String
tasksSign,1074,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/3o7TKrBjJbwIHVEpfa/200.gif,Edm.String,Shirt You can also use this sign.,Edm.String,https://media0.giphy.com/media/3o7TKrBjJbwIHVEpfa/200_s.gif,Edm.String
tasksSign,1075,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/l4JyM6i7v4YYTxNhS/200.gif,Edm.String,Queen Size Bed,Edm.String,https://media2.giphy.com/media/l4JyM6i7v4YYTxNhS/200_s.gif,Edm.String
